temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base
12.0, 12.0, maize.ArtVirt@7cca494b, maize.ArtVirt@7cca494b, 0, 0, 0, 12.0, 0.0, 0.0, -2.0, 0.0, 0.0, -2.0, 1.0, 3.1415927, 0.5235988, 1.0, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@7ba4f24f, maize.ArtVirt@7cca494b, 1, 10, 1, 12.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.SegRoot@3b9a45b3, maize.SegRoot@7ba4f24f, 1, 10, 1, 10.0, 0.6, -1.2246468173960125E-17, -2.100000001490116, 0.6, 0.0, -2.0, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@7699a589, maize.SegRoot@3b9a45b3, 3, 11, 2, 10.0, 0.6, -1.2368932855699726E-17, -2.1010000015050174, 0.6, -1.2246468173960125E-17, -2.100000001490116, 0.023721188, 0.0017677578, 6.988886E-6, 0.023721188, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@58372a00, maize.SegRoot@3b9a45b3, 1, 10, 1, 9.0, 0.6, -2.449293634792025E-17, -2.2000000029802322, 0.6, -1.2246468173960125E-17, -2.100000001490116, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@4dd8dc3, maize.SegRoot@58372a00, 4, 11, 2, 9.0, 0.5999074699863036, 8.253460529892408E-5, -2.2009922863396088, 0.6, -2.449293634792025E-17, -2.2000000029802322, 0.021215057, 0.0014139639, 4.999554E-6, 0.021215057, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@6d03e736, maize.SegRoot@58372a00, 1, 10, 1, 8.0, 0.5907469986303684, 0.008253460529894832, -2.299228338917898, 0.6, -2.449293634792025E-17, -2.2000000029802322, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@568db2f2, maize.SegRoot@6d03e736, 6, 11, 2, 8.0, 0.5908411200970857, 0.008189633850503131, -2.3002218515420267, 0.5907469986303684, 0.008253460529894832, -2.299228338917898, 0.024139643, 0.0018306763, 7.3653123E-6, 0.024139643, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@378bf509, maize.SegRoot@6d03e736, 1, 10, 1, 8.0, 0.6001591453020971, 0.0018707925907247803, -2.3985796013307703, 0.5907469986303684, 0.008253460529894832, -2.299228338917898, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@5fd0d5ae, maize.SegRoot@378bf509, 7, 11, 2, 8.0, 0.5999689921650755, 0.0016502058947380593, -2.399536253474361, 0.6001591453020971, 0.0018707925907247803, -2.3985796013307703, 0.021785557, 0.001491033, 5.413831E-6, 0.021785557, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@2d98a335, maize.SegRoot@378bf509, 1, 10, 1, 7.0, 0.5811438315999337, -0.020187877007947327, -2.4942448156898473, 0.6001591453020971, 0.0018707925907247803, -2.3985796013307703, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@16b98e56, maize.SegRoot@2d98a335, 9, 11, 2, 7.0, 0.5808381104278307, -0.020429791880372528, -2.4951656912456257, 0.5811438315999337, -0.020187877007947327, -2.4942448156898473, 0.024116877, 0.001827225, 7.3444935E-6, 0.024116877, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@7ef20235, maize.SegRoot@2d98a335, 1, 10, 1, 6.0, 0.5505717143896439, -0.0443793642504675, -2.5863323712676696, 0.5811438315999337, -0.020187877007947327, -2.4942448156898473, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@27d6c5e0, maize.SegRoot@7ef20235, 11, 11, 2, 6.0, 0.5502193943203672, -0.04441178895522011, -2.587267688987543, 0.5505717143896439, -0.0443793642504675, -2.5863323712676696, 0.028483376, 0.0025487826, 1.2099656E-5, 0.028483376, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@4f3f5b24, maize.SegRoot@7ef20235, 1, 10, 1, 5.0, 0.5153397074619719, -0.04762183472572919, -2.6798641432549934, 0.5505717143896439, -0.0443793642504675, -2.5863323712676696, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@15aeb7ab, maize.SegRoot@4f3f5b24, 16, 11, 2, 5.0, 0.5148569606391366, -0.04782717954653331, -2.680715488683955, 0.5153397074619719, -0.04762183472572919, -2.6798641432549934, 0.019018048, 0.0011362706, 3.601608E-6, 0.019018048, 0.0, 0.0, 0.0
12.0, 12.0, maize.SegRoot@7b23ec81, maize.SegRoot@4f3f5b24, 1, 10, 1, 5.0, 0.4670650251784332, -0.06815631680614108, -2.76499868615114, 0.5153397074619719, -0.04762183472572919, -2.6798641432549934, 0.1, 0.025132742, 5.026548E-4, 0.08, 0.0, 2.9587904E-5, 0.0
12.0, 12.0, maize.MerisRoot@6acbcfc0, maize.SegRoot@7b23ec81, 17, 11, 2, 5.0, 0.4669072620709463, -0.06825963042278352, -2.7659807437504362, 0.4670650251784332, -0.06815631680614108, -2.76499868615114, 0.03260596, 0.0033399803, 1.8150544E-5, 0.03260596, 0.0, 0.0, 0.0
