temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base,water_pot_endo, water_pot_exo, Kh, Lr, Lr_percent, radial_water_flux, axial_water_flux, aqp, cavitation,maintenance_demand, growth_demand, dry_mass, growth_eff, photosynthesis, n_uptake, n_satis
12.0, 12.0, maize.ArtVirt@15327b79, maize.ArtVirt@15327b79, 0, 0, 0, 12.0, 0.0, 0.0, -2.0, 0.0, 0.0, -2.0, 1.0, 3.1415927, 0.5235988, 1.0, 0.0, 0.0, 0.0, -0.15, -0.15, 5.00000597E14, 9.9999999E14, 0.0, 3.3055786E-29, 2.3258313E-22, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.SegRoot@4f2410ac, maize.ArtVirt@15327b79, 1, 10, 1, 12.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 1.5, 0.37699112, 0.0075398223, 0.08, 0.21468802, 4.2154265E-4, 0.0, -0.15, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 4.8975707E-24, 6.971348E-24, 0.9999096, 1.0, 5.049535E-5, 4.404341E-5, 4.2154265E-4, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.SegRoot@722c41f4, maize.SegRoot@4f2410ac, 1, 10, 1, 1.0, 0.6000000000000001, -1.8369701987210297E-16, -3.5, 0.6, 0.0, -2.0, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 1.9449943E-26, 2.0736885E-24, 0.9999096, 1.0, 2.4084613E-7, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.MerisRoot@5b80350b, maize.SegRoot@722c41f4, 8, 11, 2, 1.0, 0.6000000000000001, -1.8370681704627717E-16, -3.5000799999982117, 0.6000000000000001, -1.8369701987210297E-16, -3.5, 0.033370752, 0.0034985002, 1.9457932E-5, 0.033370752, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 1.4495452E-24, 1.0, 1.0, 1.1654041E-7, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.MerisRoot@5d6f64b1, maize.SegRoot@722c41f4, 1, 10, 1, 12.0, 0.6000000000000001, -1.8467673728952246E-16, -3.507999999821186, 0.6000000000000001, -1.8369701987210297E-16, -3.5, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 6.0465523E-25, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.SegStem@32a1bec0, maize.ArtVirt@15327b79, 1, 40, 1, 12.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 0.01, 0.012566371, 0.001256637, 0.4, 0.01025, 6.283185E-6, 0.0, -0.15, -0.15, 1.19336154E9, 9.9999999E14, 1.0, 1.3222311E-31, 2.3258313E-22, 1.0, 1.0, 7.526442E-7, 0.0, 6.283185E-6, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.SegStem@22927a81, maize.SegStem@32a1bec0, 2, 40, 1, 6.0, 0.6, 0.0, -1.9900000002235174, 0.6, 0.0, -2.0, 0.01, 0.012566371, 0.001256637, 0.4, 0.01025, 6.283185E-6, 0.0, -0.15, -0.15, 1.19336154E9, 9.9999999E14, 1.0, 1.3222311E-31, -0.0, 1.0, 1.0, 7.526442E-7, 0.0, 6.283185E-6, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.MerisRoot@78e03bb5, maize.SegStem@22927a81, 5, 30, 2, 6.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 1.3152476E-22, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.MerisRoot@5e8c92f4, maize.SegStem@22927a81, 6, 30, 2, 6.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 1.3152476E-22, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
12.0, 12.0, maize.MerisRoot@61e4705b, maize.SegStem@22927a81, 7, 30, 2, 6.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, -5.580589E-16, 1.315248E-22, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 1.0, 0.0, 0.029323455983295048, 0.6466172799164752
